name,date_stamp,age_0,age_1-2,age_3,age_4,age_5,age_6,age_7-14,age_15,age_16,age_17,age_18,age_19-54_w,age_19_59_m,age_after,age_general
2,2017-01-01,7,3,3,8,4,7,40,11,7,4,9,196,208,291,798
27,2017-01-01,2,0,0,1,1,2,10,2,0,1,2,69,65,79,234
26,2017-01-01,0,6,4,2,2,6,31,3,3,3,7,109,122,98,396
29,2017-01-01,1,2,4,2,1,0,15,2,1,3,1,69,79,107,287
23,2017-01-01,0,0,0,0,0,0,1,0,1,0,1,5,10,10,28
9,2017-01-01,0,13,6,5,4,6,25,3,4,3,7,104,100,65,345
15,2017-01-01,0,54,47,44,59,49,327,52,60,67,49,1957,1752,1257,5774
5,2017-01-01,1,96,63,59,72,64,420,69,77,79,75,2313,2137,1590,7115
24,2017-01-01,0,0,1,1,0,0,1,0,0,0,0,6,8,21,38
14,2017-01-01,1,0,0,0,0,0,0,0,0,0,0,2,2,3,8
18,2017-01-01,0,19,6,4,6,2,24,7,5,5,8,95,102,94,377
17,2017-01-01,0,3,0,2,0,1,8,0,1,0,0,18,24,27,84
11,2017-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
25,2017-01-01,0,0,0,1,1,0,3,4,2,1,1,19,17,23,72
7,2017-01-01,2,11,3,4,2,3,29,1,0,2,3,89,57,74,280
13,2017-01-01,0,0,0,0,1,0,6,0,0,0,0,12,13,17,49
21,2017-01-01,0,1,0,0,0,0,1,0,0,0,0,1,3,7,13
10,2017-01-01,2,1,1,2,1,2,10,3,2,1,2,42,34,37,140
16,2017-01-01,7,18,12,10,9,14,75,6,18,9,18,254,264,218,932
6,2017-01-01,6,7,7,9,11,8,52,7,8,6,10,194,240,259,824
8,2017-01-01,2,1,1,3,1,2,11,4,3,1,3,53,61,51,197
28,2017-01-01,0,3,14,4,4,6,28,4,5,2,6,124,106,78,384
4,2017-01-01,0,8,14,6,5,7,37,6,5,3,6,175,163,63,498
22,2017-01-01,0,5,0,1,1,1,9,2,0,1,1,25,23,40,109
12,2017-01-01,0,0,0,1,0,0,0,0,1,0,2,3,5,6,18
19,2017-01-01,1,0,0,2,1,1,9,2,1,1,2,32,48,44,144
3,2017-01-01,5,8,10,8,11,6,56,5,6,8,8,210,258,315,914
20,2017-01-01,4,6,6,6,10,6,41,3,5,5,7,141,179,208,627
