,name,date_stamp,category,value
1,2,2017-01-01,1,103
2,27,2017-01-01,1,23
3,26,2017-01-01,1,126
4,29,2017-01-01,1,10
5,23,2017-01-01,1,7
6,9,2017-01-01,1,94
7,15,2017-01-01,1,965
8,24,2017-01-01,1,3
9,14,2017-01-01,1,5
10,18,2017-01-01,1,176
11,17,2017-01-01,1,19
12,25,2017-01-01,1,20
13,7,2017-01-01,1,98
14,13,2017-01-01,1,6
15,21,2017-01-01,1,4
16,16,2017-01-01,1,274
17,6,2017-01-01,1,381
18,8,2017-01-01,1,30
19,28,2017-01-01,1,107
20,4,2017-01-01,1,107
21,19,2017-01-01,1,20
22,3,2017-01-01,1,30
23,20,2017-01-01,1,20
24,5,2017-01-01,1,1426
25,29,2017-01-01,2,1
26,15,2017-01-01,2,55
27,8,2017-01-01,2,5
28,3,2017-01-01,2,4
29,20,2017-01-01,2,3
30,5,2017-01-01,2,56
31,2,2017-01-01,3,15
32,27,2017-01-01,3,3
33,26,2017-01-01,3,6
34,15,2017-01-01,3,67
35,19,2017-01-01,3,3
36,3,2017-01-01,3,2
37,20,2017-01-01,3,2
38,5,2017-01-01,3,73
39,26,2017-01-01,4,11
40,29,2017-01-01,4,5
41,9,2017-01-01,4,6
42,15,2017-01-01,4,325
43,18,2017-01-01,4,3
44,17,2017-01-01,4,1
45,7,2017-01-01,4,2
46,16,2017-01-01,4,2
47,6,2017-01-01,4,4
48,28,2017-01-01,4,3
49,4,2017-01-01,4,3
50,3,2017-01-01,4,15
51,20,2017-01-01,4,10
52,5,2017-01-01,4,351
53,29,2017-01-01,5,1
54,15,2017-01-01,5,79
55,7,2017-01-01,5,8
56,16,2017-01-01,5,19
57,6,2017-01-01,5,27
58,8,2017-01-01,5,1
59,28,2017-01-01,5,5
60,4,2017-01-01,5,5
61,3,2017-01-01,5,4
62,20,2017-01-01,5,3
63,5,2017-01-01,5,80
64,2,2017-01-01,6,3
65,29,2017-01-01,6,2
66,9,2017-01-01,6,2
67,15,2017-01-01,6,55
68,18,2017-01-01,6,1
69,17,2017-01-01,6,1
70,7,2017-01-01,6,2
71,16,2017-01-01,6,4
72,6,2017-01-01,6,6
73,28,2017-01-01,6,3
74,4,2017-01-01,6,3
75,19,2017-01-01,6,1
76,3,2017-01-01,6,8
77,20,2017-01-01,6,6
78,5,2017-01-01,6,61
79,29,2017-01-01,7,4
80,16,2017-01-01,7,1
81,3,2017-01-01,7,14
82,20,2017-01-01,7,10
83,5,2017-01-01,7,4
84,5,2017-01-01,8,0
85,2,2017-01-01,9,5
86,27,2017-01-01,9,5
87,29,2017-01-01,9,1
88,15,2017-01-01,9,213
89,16,2017-01-01,9,7
90,6,2017-01-01,9,7
91,8,2017-01-01,9,12
92,28,2017-01-01,9,5
93,4,2017-01-01,9,5
94,22,2017-01-01,9,1
95,3,2017-01-01,9,5
96,20,2017-01-01,9,4
97,5,2017-01-01,9,214
98,2,2017-01-01,10,14
99,27,2017-01-01,10,4
100,26,2017-01-01,10,7
101,29,2017-01-01,10,1
102,15,2017-01-01,10,293
103,7,2017-01-01,10,2
104,16,2017-01-01,10,32
105,6,2017-01-01,10,34
106,8,2017-01-01,10,2
107,28,2017-01-01,10,18
108,4,2017-01-01,10,18
109,22,2017-01-01,10,2
110,19,2017-01-01,10,1
111,3,2017-01-01,10,12
112,20,2017-01-01,10,11
113,5,2017-01-01,10,301
114,2,2017-01-01,11,8
115,27,2017-01-01,11,2
116,26,2017-01-01,11,4
117,29,2017-01-01,11,2
118,9,2017-01-01,11,2
119,15,2017-01-01,11,305
120,18,2017-01-01,11,1
121,17,2017-01-01,11,2
122,7,2017-01-01,11,2
123,16,2017-01-01,11,7
124,6,2017-01-01,11,9
125,8,2017-01-01,11,2
126,28,2017-01-01,11,4
127,4,2017-01-01,11,4
128,19,2017-01-01,11,4
129,3,2017-01-01,11,9
130,20,2017-01-01,11,7
131,5,2017-01-01,11,316
132,2,2017-01-01,12,1
133,27,2017-01-01,12,1
134,18,2017-01-01,12,2
135,17,2017-01-01,12,1
136,7,2017-01-01,12,1
137,6,2017-01-01,12,1
138,8,2017-01-01,12,1
139,28,2017-01-01,12,5
140,4,2017-01-01,12,5
141,3,2017-01-01,12,6
142,20,2017-01-01,12,6
143,5,2017-01-01,12,3
144,26,2017-01-01,13,84
145,23,2017-01-01,13,8
146,9,2017-01-01,13,30
147,17,2017-01-01,13,19
148,25,2017-01-01,13,17
149,12,2017-01-01,13,3
150,5,2017-01-01,13,161
