code,name_ua_short,name_ua_full,name_eng
1,сільське господарство,"сільське господарство, лісове та рибне господарство",agriculture
2,промисловість,промисловість,industry
3,будівництво,будівництво,construction
4,торгівля,торгівля та надання побутових послуг,service
5,послуги,"діяльність готелів, ресторанів та кафе",tourism
6,транспорт,діяльність транспорту та зв’язку,transport and communication
7,фінанси,фінансова діяльність,finance
8,нерухомість,"операції з нерухомим майном, оренда та надання послуг підприємцям",real estate
9,управління,державне управління,government
10,освіта,освіта,education
11,охорона здоров‘я,охорона здоров‘я та надання соціальної допомоги,health
12,культура та спорт,діяльність у сфері культури та спорту,culture
13,інше,інше,other
